Books,Score
['Darkfall'],0.9874297726613918
['Sacred Prey'],0.9868255753502146
['Epistemology: Classic Problems and Contemporary Responses (Elements of Philosophy)'],0.9868197112265469
"['The Killing of Worlds (Successions, Book 2)']",0.9867121197260129
"['A Grimoire of Shadows: Witchcraft, Paganism, & Magick']",0.9865567041705712
['Acts of the Apostles (Mind over Matter Series)'],0.9861657647979316
['Reasonable Circulation.'],0.9861434515202441
"[""Walt Disney's Donald Duck Adventures: Ancient Persia (Gladstone Comic Album Series No. 10)""]",0.9857113273705154
['The High Window'],0.9856582975550788
"[""Scout's Honor: The Bravest Way To Build A Winning Team""]",0.9855494995385236
