Books,Score
['Microbes and Morals:  The strange story of venereal disease'],0.9999625700286121
['Microbes and Morals : The Strange Story of Venereal Disease'],0.9999560649155488
"[""Selling Sickness: How the World's Biggest Pharmaceutical Companies are Turning Us All into Patients""]",0.9946943315170165
['The Life of David'],0.9942729707215107
['Albert Camus: A study of his work (Evergreen book)'],0.994080563851621
['Your First Year As a Nurse: Making the Transition from Total Novice to Successful Professional'],0.9940243191440934
['Donald Trump: Master Apprentice'],0.9939803019713926
['Differential Topology (Graduate Texts in Mathematics)'],0.9937962756810177
"['Refuting Compromise: A Biblical and Scientific Refutation of ""Progressive Creationism"" (Billions of Years) As Popularized by Astronomer Hugh Ross']",0.9937952251489406
['The Battle of Salamis: The Naval Encounter That Saved Greece -- and Western Civilization'],0.9937546709717953
